"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7948","При создании нового заказа счетчики ""Выполнено за всё время"" и ""Выполнено за сегодня"" увеличиваются","tests","Mon Jun 16 16:48:02 MSK 2025","passed","Mon Jun 16 16:48:10 MSK 2025","TestOrderFeed","test_order_feed","",""
"","518","Всплывающее окно закрывается кликом по крестику","tests","Mon Jun 16 16:47:13 MSK 2025","passed","Mon Jun 16 16:47:14 MSK 2025","TestCoreFunctionality","test_basic_functionality","",""
"","267","Если кликнуть на ингредиент, появится всплывающее окно с деталями","tests","Mon Jun 16 16:46:58 MSK 2025","passed","Mon Jun 16 16:46:58 MSK 2025","TestCoreFunctionality","test_basic_functionality","",""
"","7698","При создании нового заказа счетчики ""Выполнено за всё время"" и ""Выполнено за сегодня"" увеличиваются","tests","Mon Jun 16 16:47:33 MSK 2025","passed","Mon Jun 16 16:47:41 MSK 2025","TestOrderFeed","test_order_feed","",""
"","603","При добавлении ингредиента в заказ, увеличивается счетчик данного ингредиента","tests","Mon Jun 16 16:47:19 MSK 2025","passed","Mon Jun 16 16:47:19 MSK 2025","TestCoreFunctionality","test_basic_functionality","",""
"","1803","Переход по клику на ""Лента Заказов""","tests","Mon Jun 16 16:46:44 MSK 2025","passed","Mon Jun 16 16:46:46 MSK 2025","TestCoreFunctionality","test_basic_functionality","",""
"","127","Переход по клику на ""Конструктор""","tests","Mon Jun 16 16:46:22 MSK 2025","passed","Mon Jun 16 16:46:22 MSK 2025","TestCoreFunctionality","test_basic_functionality","",""
"","518","Переход по клику на ""Конструктор""","tests","Mon Jun 16 16:46:29 MSK 2025","passed","Mon Jun 16 16:46:30 MSK 2025","TestCoreFunctionality","test_basic_functionality","",""
"","7154","После оформления заказа его номер появляется в разделе ""В работе""","tests","Mon Jun 16 16:48:33 MSK 2025","passed","Mon Jun 16 16:48:41 MSK 2025","TestOrderFeed","test_order_feed","",""
"","42","При добавлении ингредиента в заказ, увеличивается счетчик данного ингредиента","tests","Mon Jun 16 16:47:27 MSK 2025","passed","Mon Jun 16 16:47:27 MSK 2025","TestCoreFunctionality","test_basic_functionality","",""
"","1779","Если кликнуть на ингредиент, появится всплывающее окно с деталями","tests","Mon Jun 16 16:46:49 MSK 2025","passed","Mon Jun 16 16:46:51 MSK 2025","TestCoreFunctionality","test_basic_functionality","",""
"","128","Всплывающее окно закрывается кликом по крестику","tests","Mon Jun 16 16:47:06 MSK 2025","passed","Mon Jun 16 16:47:06 MSK 2025","TestCoreFunctionality","test_basic_functionality","",""
"","7000","После оформления заказа его номер появляется в разделе ""В работе""","tests","Mon Jun 16 16:48:48 MSK 2025","passed","Mon Jun 16 16:48:55 MSK 2025","TestOrderFeed","test_order_feed","",""
"","7649","При создании нового заказа счетчики ""Выполнено за всё время"" и ""Выполнено за сегодня"" увеличиваются","tests","Mon Jun 16 16:47:47 MSK 2025","passed","Mon Jun 16 16:47:55 MSK 2025","TestOrderFeed","test_order_feed","",""
"","8418","При создании нового заказа счетчики ""Выполнено за всё время"" и ""Выполнено за сегодня"" увеличиваются","tests","Mon Jun 16 16:48:18 MSK 2025","failed","Mon Jun 16 16:48:27 MSK 2025","TestOrderFeed","test_order_feed","",""
"","4424","Переход по клику на ""Лента Заказов""","tests","Mon Jun 16 16:46:33 MSK 2025","passed","Mon Jun 16 16:46:37 MSK 2025","TestCoreFunctionality","test_basic_functionality","",""
